#### Cumulative Probability Distribution
# cumulative #1
3000.000000001 0.0
4194.14460190374 0.119179734620024
5388.28920380648 0.219903498190591
6582.43380570922 0.270566948130277
7776.57840761196 0.331483715319662
8970.7230095147 0.372617611580217
10164.8676114174 0.413389626055489
11359.0122133202 0.454523522316043
12553.1568152229 0.49059107358263
13747.3014171257 0.522436670687575
14941.4460190284 0.555971049457177
16135.5906209311 0.587696019300362
17329.7352228339 0.618938480096502
18523.8798247366 0.650422195416164
19718.0244266393 0.678528347406514
20912.1690285421 0.702653799758745
22106.3136304448 0.730277442702051
23300.4582323476 0.750301568154403
24494.6028342503 0.772135102533173
25688.747436153 0.789746682750302
26882.8920380558 0.809891435464415
28077.0366399585 0.825452352231604
29271.1812418613 0.839806996381182
30465.325843764 0.852472858866104
31659.4704456667 0.867913148371532
32853.6150475695 0.879493365500603
34047.7596494722 0.890470446320868
35241.904251375 0.899758745476478
36436.0488532777 0.910012062726176
37630.1934551804 0.919300361881785
38824.3380570832 0.928829915560917
40018.4826589859 0.935343787696019
41212.6272608887 0.941013268998794
42406.7718627914 0.945597104945718
43600.9164646941 0.951749095295537
44795.0610665969 0.955971049457177
45989.2056684996 0.960193003618818
47183.3502704023 0.964173703256936
48377.4948723051 0.96875753920386
49571.6394742078 0.971049457177322
50765.7840761106 0.973582629674306
51959.9286780133 0.976477683956574
53154.073279916 0.979252110977081
54348.2178818188 0.982147165259349
55542.3624837215 0.983594692400482
56736.5070856243 0.985162846803378
57930.651687527 0.986972255729795
59124.7962894297 0.988178528347406
60318.9408913325 0.989987937273824
61513.0854932352 0.990832328106152
62707.230095138 0.992038600723764
63901.3746970407 0.993003618817853
65095.5192989434 0.99372738238842
66289.6639008462 0.994209891435464
67483.8085027489 0.994571773220748
68677.9531046517 0.995054282267792
69872.0977065544 0.995898673100121
71066.2423084571 0.996622436670688
72260.3869103599 0.996984318455971
73454.5315122626 0.997466827503016
74648.6761141654 0.997708082026538
75842.8207160681 0.997828709288299
77036.9653179708 0.99794933655006
78231.1099198736 0.998311218335344
79425.2545217763 0.998673100120627
80619.399123679 0.99891435464415
81813.5437255818 0.999034981905911
83007.6883274845 0.999155609167672
84201.8329293873 0.999276236429433
85395.97753129 0.999396863691194
86590.1221331928 0.999517490952955
87784.2667350955 0.999517490952955
88978.4113369982 0.999517490952955
90172.555938901 0.999517490952955
91366.7005408037 0.999517490952955
92560.8451427064 0.999517490952955
93754.9897446092 0.999517490952955
94949.1343465119 0.999638118214716
96143.2789484147 0.999638118214716
97337.4235503174 0.999638118214716
98531.5681522201 0.999758745476478
99725.7127541229 0.999758745476478
100919.857356026 0.999758745476478
102114.001957928 0.999758745476478
103308.146559831 0.999758745476478
104502.291161734 0.999758745476478
105696.435763637 0.999758745476478
106890.580365539 0.999758745476478
108084.724967442 0.999758745476478
109278.869569345 0.999758745476478
110473.014171248 0.999758745476478
111667.15877315 0.999758745476478
112861.303375053 1.0
