#### Cumulative Probability Distribution
# cumulative #1
3000.000000001 0.0
5706.55648764014 0.433305012744265
8413.11297527929 0.573208722741433
11119.6694629184 0.629283489096573
13826.2259505576 0.675446049277825
16532.7824381967 0.70518266779949
19239.3389258359 0.739167374681393
21945.895413475 0.769470404984424
24652.4519011142 0.790427640894931
27359.0083887533 0.8071367884452
30065.5648763925 0.823845935995469
32772.1213640316 0.83970546587369
35478.6778516707 0.854148966298499
38185.2343393099 0.861512319456245
40891.790826949 0.873123760974228
43598.3473145882 0.880770320022656
46304.9038022273 0.888700084961767
49011.4602898665 0.8946474086661
51718.0167775056 0.900311526479751
54424.5732651448 0.905975644293401
57131.1297527839 0.908241291418862
59837.686240423 0.912489379779099
62544.2427280622 0.916171056357972
65250.7992157013 0.91928632115548
67957.3557033405 0.92155196828094
70663.9121909796 0.924950438969131
73370.4686786188 0.928632115548003
76077.0251662579 0.930897762673464
78783.5816538971 0.932596998017559
81490.1381415362 0.934579439252336
84196.6946291754 0.936278674596432
86903.2511168145 0.937128292268479
89609.8076044536 0.937694704049844
92316.3640920928 0.938261115831209
95022.9205797319 0.939393939393939
97729.4770673711 0.939677145284622
100436.03355501 0.940809968847352
103142.590042649 0.941376380628717
105849.146530289 0.942509204191447
108555.703017928 0.942509204191447
111262.259505567 0.94279241008213
113968.815993206 0.943075615972812
116675.372480845 0.943075615972812
119381.928968484 0.943358821863495
122088.485456123 0.943358821863495
124795.041943763 0.943642027754177
127501.598431402 0.943642027754177
130208.154919041 0.943642027754177
132914.71140668 0.943642027754177
135621.267894319 0.944208439535542
138327.824381958 0.944491645426225
141034.380869597 0.944491645426225
143740.937357237 0.944774851316907
146447.493844876 0.944774851316907
149154.050332515 0.944774851316907
151860.606820154 0.94505805720759
154567.163307793 0.94505805720759
157273.719795432 0.94505805720759
159980.276283071 0.945341263098272
