0       95.0143    96.0143    
0.5     98.9136    99.9131
1       98.7827    99.7824
1.5     98.4104    99.4101
                     
2.5     89.6749    90.6749
3       98.7827    99.7824
3.5     98.8684    99.8681
4       98.8910    99.8905
                     
5       84.9749    85.9749
5.5     98.3012    99.3010
6       98.4540    99.4538
6.5     98.2005    99.2004
                     
7.5     80.3912    81.3912
8       97.0938    98.0937
8.5     97.6120    98.6119
9       98.8465    99.8461
