0       95.0143    96.0143    
0.5     89.6749    90.6749
1       84.9749    85.9749
1.5     80.3912    81.3912
                  
2.5     98.9136    99.9131 
3       98.7827    99.7824 
3.5     98.3012    99.3010
4       97.0938    98.0937
                 
5       98.7827    99.7824
5.5     98.8684    99.8681
6       98.4540    99.4538
6.5     97.6120    98.6119
                    
7.5     98.4104    99.4101
8       98.8910    99.8905
8.5     98.2005    99.2004
9       98.8465    99.8461
                   

