#### Cumulative Probability Distribution
# cumulative #1
6394.10602226853 0.0
8150.07291387259 0.00173862648507679
9906.03980547664 0.011011301072153
11662.0066970807 0.0437554332077659
13417.9735886848 0.119965227470298
15173.9404802888 0.282816574905824
16929.9073718929 0.589104607360185
18685.8742634969 0.680672268907563
20441.841155101 0.732831063459867
22197.808046705 0.787018255578093
23953.7749383091 0.82323964068386
25709.7418299131 0.859461025789626
27465.7087215172 0.888438133874239
29221.6756131212 0.907563025210084
30977.6425047253 0.918574326282237
32733.6093963294 0.926977687626775
34489.5762879334 0.936540133294697
36245.5431795375 0.945233265720081
38001.5100711415 0.950159374094465
39757.4769627456 0.955954795711388
41513.4438543496 0.960591133004926
43269.4107459537 0.965227470298464
45025.3776375577 0.968704723268618
46781.3445291618 0.972181976238771
48537.3114207659 0.975079687047233
50293.2783123699 0.977108084613156
52049.245203974 0.977977397855694
53805.212095578 0.979136482179079
55561.1789871821 0.980005795421617
57317.1458787861 0.980875108664155
59073.1127703902 0.982903506230078
60829.0796619942 0.98348304839177
62585.0465535983 0.985221674876847
64341.0134452023 0.986960301361924
66096.9803368064 0.988119385685309
67852.9472284105 0.988988698927847
69608.9141200145 0.990437554332078
71364.8810116186 0.991306867574616
73120.8479032226 0.991886409736308
74876.8147948267 0.992176180817154
76632.7816864307 0.993335265140539
78388.7485780348 0.993625036221385
80144.7154696388 0.99478412054477
81900.6823612429 0.995073891625616
83656.6492528469 0.995653433787308
85412.616144451 0.996232975949
87168.5830360551 0.996522747029846
88924.5499276591 0.996812518110693
90680.5168192632 0.996812518110693
92436.4837108672 0.997681831353231
94192.4506024713 0.997971602434077
95948.4174940753 0.998261373514923
97704.3843856794 0.998551144595769
99460.3512772834 0.998840915676615
101216.318168887 0.998840915676615
102972.285060492 0.999420457838308
104728.251952096 0.999420457838308
106484.2188437 0.999420457838308
108240.185735304 0.999420457838308
109996.152626908 1.0
